NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
fiona8-3.calit2.uci.edu                    Ready                         <none>                 379d     v1.23.14   192.5.19.137      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
fiona8.ucsc.edu                            Ready,SchedulingDisabled      <none>                 2y43d    v1.23.14   128.114.86.12     <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-west
gdc-fiona-dtn.mren.org                     Ready                         <none>                 3y32d    v1.23.14   74.114.96.99      <none>        Ubuntu 20.04.3 LTS      5.4.0-139-generic               containerd://1.5.9              us-east
gpn-cisco1-nautilus.greatplains.net        Ready                         <none>                 385d     v1.23.14   164.58.250.11     <none>        Ubuntu 20.04.4 LTS      5.4.0-122-generic               containerd://1.5.9              us-central
gpn-cisco2-nautilus.greatplains.net        Ready                         <none>                 385d     v1.23.14   164.58.250.12     <none>        Ubuntu 20.04.4 LTS      5.4.0-122-generic               containerd://1.5.9              us-central
gpn-fiona-mizzou-1.rnet.missouri.edu       Ready                         <none>                 14d      v1.23.14   128.206.234.85    <none>        Ubuntu 20.04.5 LTS      5.4.0-137-generic               containerd://1.5.9              us-central
gpn-fiona-mizzou-2.rnet.missouri.edu       Ready                         <none>                 14d      v1.23.14   128.206.234.91    <none>        Ubuntu 20.04.5 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
gpn-fiona-mizzou-3.rnet.missouri.edu       Ready                         <none>                 14d      v1.23.14   128.206.234.97    <none>        Ubuntu 20.04.5 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
gpn-fiona-mizzou-4.rnet.missouri.edu       Ready                         <none>                 14d      v1.23.14   128.206.234.103   <none>        Ubuntu 20.04.5 LTS      5.4.0-125-generic               containerd://1.5.9              us-central
gpn-fiona-mizzou.rnet.missouri.edu         Ready                         <none>                 107d     v1.23.14   128.206.234.79    <none>        Ubuntu 20.04.4 LTS      5.4.0-131-generic               containerd://1.5.9              us-central
gpn-fiona.usd.edu                          Ready                         <none>                 356d     v1.23.14   206.209.0.13      <none>        Ubuntu 20.04.4 LTS      5.4.0-137-generic               containerd://1.5.9              us-central
gpu-01.nrp.mghpcc.org                      Ready                         <none>                 121d     v1.23.14   192.69.103.141    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-02.nrp.mghpcc.org                      Ready                         <none>                 119d     v1.23.14   192.69.103.142    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
gpu-03.nrp.mghpcc.org                      Ready                         <none>                 119d     v1.23.14   192.69.103.143    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
